iter	Passed	Remaining
0	18	18931
1	35	17813
2	52	17331
3	71	17776
4	89	17712
5	108	17938
6	124	17715
7	140	17443
8	156	17259
9	171	16984
10	187	16834
11	202	16712
12	218	16609
13	233	16421
14	248	16302
15	262	16128
16	277	16055
17	293	16030
18	313	16166
19	335	16454
20	358	16720
21	378	16835
22	396	16842
23	412	16783
24	428	16716
25	444	16664
26	461	16641
27	478	16603
28	495	16587
29	513	16587
30	529	16544
31	549	16626
32	566	16604
33	583	16585
34	600	16568
35	617	16546
36	634	16506
37	651	16488
38	668	16473
39	684	16427
40	701	16410
41	717	16376
42	735	16371
43	752	16355
44	771	16363
45	787	16341
46	804	16311
47	820	16269
48	837	16245
49	854	16235
50	871	16211
51	887	16184
52	906	16205
53	924	16190
54	940	16165
55	956	16130
56	974	16114
57	994	16148
58	1012	16144
59	1029	16135
60	1047	16121
61	1062	16079
62	1078	16042
63	1094	16005
64	1108	15946
65	1124	15911
66	1141	15895
67	1157	15858
68	1174	15851
69	1191	15830
70	1207	15805
71	1224	15788
72	1242	15773
73	1256	15718
74	1270	15665
75	1285	15624
76	1301	15601
77	1319	15600
78	1336	15577
79	1352	15549
80	1368	15525
81	1382	15482
82	1399	15463
83	1416	15450
84	1431	15407
85	1446	15370
86	1463	15361
87	1478	15321
88	1495	15310
89	1510	15271
90	1526	15244
91	1542	15222
92	1555	15165
93	1570	15132
94	1586	15110
95	1601	15080
96	1618	15065
97	1635	15049
98	1651	15028
99	1665	14992
100	1680	14960
101	1694	14922
102	1710	14892
103	1724	14854
104	1740	14838
105	1756	14810
106	1773	14802
107	1787	14763
108	1802	14731
109	1817	14705
110	1831	14671
111	1848	14659
112	1864	14633
113	1880	14617
114	1895	14587
115	1912	14571
116	1926	14538
117	1941	14512
118	1957	14488
119	1971	14459
120	1988	14441
121	2004	14425
122	2018	14395
123	2033	14362
124	2051	14357
125	2066	14331
126	2081	14305
127	2097	14290
128	2111	14257
129	2126	14232
130	2142	14212
131	2159	14198
132	2173	14165
133	2189	14148
134	2204	14123
135	2218	14097
136	2232	14065
137	2248	14043
138	2262	14012
139	2276	13983
140	2290	13954
141	2306	13936
142	2321	13911
143	2334	13878
144	2349	13853
145	2365	13835
146	2380	13813
147	2393	13779
148	2408	13753
149	2422	13726
150	2436	13697
151	2449	13667
152	2462	13633
153	2479	13622
154	2493	13595
155	2508	13570
156	2523	13547
157	2537	13523
158	2551	13496
159	2567	13477
160	2582	13456
161	2595	13423
162	2608	13394
163	2624	13377
164	2638	13354
165	2653	13333
166	2668	13310
167	2684	13295
168	2699	13271
169	2714	13251
170	2729	13233
171	2743	13207
172	2756	13179
173	2771	13158
174	2785	13132
175	2799	13106
176	2815	13089
177	2829	13064
178	2844	13044
179	2857	13019
180	2871	12992
181	2886	12975
182	2900	12948
183	2916	12934
184	2931	12913
185	2945	12891
186	2958	12860
187	2973	12841
188	2987	12820
189	3003	12802
190	3018	12783
191	3032	12759
192	3047	12740
193	3061	12720
194	3075	12697
195	3089	12675
196	3103	12648
197	3120	12640
198	3134	12616
199	3148	12595
200	3162	12572
201	3178	12556
202	3192	12535
203	3207	12515
204	3221	12492
205	3235	12472
206	3251	12457
207	3267	12442
208	3282	12421
209	3297	12404
210	3314	12393
211	3330	12377
212	3344	12356
213	3359	12337
214	3373	12317
215	3389	12301
216	3405	12288
217	3422	12276
218	3435	12252
219	3450	12232
220	3465	12214
221	3480	12195
222	3495	12178
223	3511	12165
224	3526	12148
225	3544	12137
226	3558	12116
227	3572	12097
228	3588	12082
229	3603	12063
230	3617	12042
231	3631	12021
232	3646	12003
233	3659	11980
234	3673	11959
235	3687	11936
236	3703	11922
237	3717	11903
238	3731	11882
239	3748	11870
240	3762	11850
241	3776	11829
242	3790	11807
243	3804	11786
244	3816	11761
245	3831	11743
246	3846	11725
247	3860	11707
248	3877	11693
249	3892	11678
250	3906	11656
251	3920	11637
252	3934	11615
253	3949	11599
254	3964	11583
255	3980	11569
256	3996	11554
257	4011	11537
258	4025	11516
259	4041	11502
260	4054	11481
261	4067	11457
262	4080	11435
263	4094	11415
264	4109	11397
265	4124	11381
266	4139	11364
267	4152	11343
268	4167	11325
269	4183	11310
270	4198	11294
271	4212	11275
272	4226	11255
273	4240	11235
274	4254	11216
275	4268	11195
276	4281	11174
277	4296	11157
278	4309	11137
279	4324	11119
280	4338	11100
281	4350	11078
282	4365	11060
283	4382	11048
284	4396	11029
285	4410	11009
286	4424	10991
287	4438	10972
288	4453	10956
289	4467	10937
290	4481	10919
291	4494	10897
292	4509	10881
293	4523	10862
294	4536	10840
295	4551	10824
296	4566	10808
297	4581	10791
298	4593	10769
299	4610	10756
300	4623	10736
301	4636	10716
302	4651	10699
303	4665	10682
304	4679	10663
305	4693	10645
306	4708	10627
307	4721	10607
308	4734	10588
309	4748	10569
310	4763	10552
311	4777	10535
312	4791	10517
313	4805	10499
314	4821	10485
315	4835	10466
316	4850	10450
317	4863	10429
318	4878	10413
319	4892	10395
320	4905	10375
321	4919	10358
322	4934	10342
323	4949	10327
324	4964	10310
325	4978	10294
