MAE,R2,RMSE,accuracy,accuracy10,accuracy20,accuracy5,city,model
51.411,0.646,68.132,0.101,0.101,0.212,0.049,Jilin,Linear
31.145,0.802,50.954,0.312,0.312,0.538,0.163,Jilin,KNN
1.864,0.996,7.143,0.974,0.974,0.985,0.949,Jilin,RandomForest
5.032,0.986,13.754,0.92,0.92,0.971,0.764,Jilin,XGBoost
3.342,0.989,12.15,0.963,0.963,0.98,0.899,Jilin,CatBoost
74.208,0.227,100.685,0.085,0.085,0.173,0.045,Jilin,Transformer
65.962,0.666,86.549,0.081,0.081,0.163,0.039,Yantai,Linear
26.254,0.903,46.617,0.389,0.389,0.627,0.212,Yantai,KNN
0.689,1.0,3.074,0.995,0.995,0.998,0.987,Yantai,RandomForest
3.576,0.994,11.597,0.958,0.958,0.985,0.849,Yantai,XGBoost
3.2,0.995,10.625,0.968,0.968,0.986,0.878,Yantai,CatBoost
9.678,0.981,20.496,0.759,0.759,0.904,0.482,Yantai,Transformer
