MAE,R2,RMSE,accuracy,accuracy10,accuracy20,accuracy5,city,model
51.411,0.646,68.132,0.101,0.101,0.212,0.049,Jilin,Linear
31.145,0.802,50.954,0.312,0.312,0.538,0.163,Jilin,KNN
1.864,0.996,7.143,0.974,0.974,0.985,0.949,Jilin,RandomForest
5.032,0.986,13.754,0.92,0.92,0.971,0.764,Jilin,XGBoost
3.342,0.989,12.15,0.963,0.963,0.98,0.899,Jilin,CatBoost
74.208,0.227,100.685,0.085,0.085,0.173,0.045,Jilin,Transformer
66.688,0.659,87.908,0.08,0.08,0.161,0.039,Yantai,Linear
26.709,0.897,48.424,0.393,0.393,0.627,0.211,Yantai,KNN
0.723,1.0,3.016,0.994,0.994,0.998,0.984,Yantai,RandomForest
3.819,0.993,12.622,0.952,0.952,0.981,0.844,Yantai,XGBoost
3.564,0.99,14.825,0.965,0.965,0.982,0.886,Yantai,CatBoost
11.291,0.98,21.383,0.686,0.686,0.883,0.367,Yantai,Transformer
